Glass #,Author,Year,CaO,K2O,MgO,Na2O,P2O5,SiO2,ZrO2,"Density at 20°C, g/cm3","Young`s modulus, GPa"
407113,Wolff S.,2002,3.466154,4.792633,7.15615,10.72348,0,62.82169,0,2.73,85
421157,Verne E.,2001,25,0,0,25,0,50,0,2.72,77
399964,Terai R.,1979,5.71856,0,0,12.50395,0,42.36403,1.030139,2.07,83.1
399965,Terai R.,1979,6.001309,0,0,13.41498,0,44.80875,1.124584,2.74,78.4
399966,Terai R.,1979,3.666504,0,5.101378,10.06273,0,45.62656,1.390489,2.74,81.9
399967,Terai R.,1979,3.290393,0,0,12.25186,0,50.90713,1.267051,2.68,80
399968,Terai R.,1979,3.46082,0,0,13.53163,0,53.06469,1.406235,2.73,79.7
416203,Tanaka T.,2002,4.82427,0,0,13.40651,0,64.85815,0.6272784,2.5,81.5
407751,Berthereau A.,2008,6.82731,3.915663,0,7.931727,0,68.47389,8.935743,2.73,88.6
407754,Berthereau A.,2008,5.72289,3.915662,0,9.839356,0,69.57831,8.935741,2.72,86.8
407757,Berthereau A.,2008,6.920763,3.911735,0,8.82648,0,69.40823,8.926781,2.73,87.1
407758,Berthereau A.,2008,8.024074,3.510532,0,8.024074,0,69.30793,8.926782,2.74,88.3
407764,Berthereau A.,2008,6.82731,0,0,15.76305,0,68.47389,8.935742,2.72,79.3
408673,Murata T.,2008,2.541374,5.295318,3.535933,5.173624,0,65.82009,2.602243,2.82,77
408822,Sugimoto A.,2002,3.803804,5.805806,0,4.204205,0,62.76277,0,2.57,82
408823,Sugimoto A.,2002,5.1,5.5,0,3.9,0,62.7,0,2.57,83
408827,Sugimoto A.,2002,2.8,6.6,0,4.4,0,53.2,0,2.59,86
408829,Sugimoto A.,2002,2,6.8,0,5.2,0,62,0,2.45,78
408839,Sugimoto A.,2002,6.4,5.3,0,3.7,0,62.7,0,2.58,83
409948,Murata T.,2007,2.550108,5.313517,3.548084,4.614581,0,66.04628,2.611187,2.82,77
426858,Berthereau A.,2009,17.68344,0.6358846,4.623531,7.731372,0,51.50628,0,2.62,88.4
427387,Lalande J.,2008,13.65118,0.126983,7.419344,5.403708,0,69.77583,0,2.52,31.9
427389,Lalande J.,2008,18.70871,0.1942639,5.296865,4.723897,0,65.27596,0,2.57,33.3
427390,Lalande J.,2008,18.05309,1.75868,5.328084,3.068831,0,66.3755,0,2.57,32.1
427391,Lalande J.,2008,18.29616,1.500122,5.030287,3.271155,0,66.36132,0,2.55,32.2
427392,Lalande J.,2008,18.05665,2.019624,5.785919,2.970423,0,65.67365,0,2.56,32.1
427393,Lalande J.,2008,18.48897,1.497991,5.47979,3.761433,0,65.5523,0,2.58,31.8
427394,Lalande J.,2008,18.27406,0.1942685,5.145648,4.822426,0,65.88663,0,2.58,32.3
